H2,CH4,C2H4,C2H6,C2H2,CO,CO2,risk_score
1012.622,133.964,689.285,87.349,129.668,543.295,4540.492,100.0
48.609,3.983,14.386,21.339,1.723,262.965,2295.725,12.27
852.428,70.719,150.829,61.154,25.809,73.673,571.109,72.82
810.0,58.0,16.0,20.0,1.0,315.0,2120.0,32.79
178.176,54.823,67.69,24.544,17.194,155.486,1218.173,65.32
60.0,390.0,238.0,114.0,3.4,390.0,2900.0,69.02
24.428,15.836,4.756,6.332,0.0,93.349,671.656,8.38
1108.984,150.107,760.89,91.828,145.365,527.199,4959.259,100.0
66.333,324.775,26.7,290.087,2.001,553.921,4060.696,45.07
2491.275,273.103,633.699,0.0,360.238,574.058,1745.003,100.0
24.252,14.193,3.928,6.304,0.0,96.093,739.189,4.75
11.0,7.0,2.0,3.0,0.0,42.0,340.0,3.42
304.28,94.535,118.481,43.181,33.451,266.343,2321.046,75.8
343.715,502.652,676.652,141.032,8.985,693.159,3910.094,88.11
311.829,87.794,123.083,44.468,30.362,262.197,2113.779,66.32
62.17,324.123,25.522,265.344,1.779,452.821,3339.708,47.72
255.875,18.639,6.134,8.53,0.19,99.577,727.671,44.46
21.998,14.342,4.009,5.098,0.0,76.412,632.549,8.5
421.129,126.276,148.022,63.691,43.251,384.227,2776.012,74.11
128.0,820.0,500.0,238.0,7.0,820.0,6020.0,80.53
36.015,172.71,12.36,147.733,0.767,280.839,2331.422,52.23
356.0,104.0,138.0,52.0,35.6,318.0,2580.0,61.98
25.161,14.343,3.943,6.175,0.0,90.747,762.616,13.38
127.086,827.341,601.484,158.266,7.871,506.642,3734.763,73.57
41.408,29.418,6.028,6.769,0.126,93.82,1892.175,13.91
681.048,43.772,12.84,14.999,0.835,243.745,1831.755,31.12
44.81,29.378,9.474,10.789,0.389,146.999,1116.003,4.69
54.354,375.31,178.073,105.909,2.722,364.512,2705.318,64.86
87.233,607.467,374.444,164.974,4.759,590.151,4136.667,78.7
45.792,106.509,41.517,57.525,0.524,602.192,1366.387,50.53
1040.0,135.0,693.0,86.0,139.0,520.0,4340.0,100.0
161.231,993.034,631.28,82.519,2.525,821.452,3040.257,79.61
217.655,71.544,85.76,33.095,21.87,186.995,1669.252,60.45
158.364,683.915,125.472,55.056,18.993,747.54,6500.328,68.08
142.711,104.074,11.017,43.705,1.737,628.412,1406.283,41.45
714.615,49.612,13.69,17.108,0.903,282.655,2022.417,30.58
140.0,880.0,660.0,165.0,9.0,560.0,3900.0,80.16
630.981,80.046,419.298,54.827,84.067,307.954,2552.185,100.0
51.13,31.678,9.675,12.278,0.419,144.764,1168.059,9.3
384.187,560.63,461.395,193.538,23.443,727.455,1135.449,81.1
245.109,80.86,6.91,8.379,2.116,462.881,1172.61,32.11
52.225,9.434,14.288,9.278,0.49,353.094,1943.361,11.77
94.212,912.972,297.548,50.912,7.703,528.037,3796.485,74.49
199.782,62.853,82.158,32.033,18.719,183.927,1504.678,57.38
35.239,185.33,13.272,164.709,0.839,287.96,2213.504,47.47
108.565,642.833,394.875,202.745,5.764,715.625,4716.91,82.57
136.0,882.0,538.0,256.0,7.5,882.0,6480.0,75.01
784.649,58.733,14.497,18.613,0.955,302.243,1900.168,39.91
91.357,288.032,45.097,101.265,1.45,256.898,2751.624,50.67
34.213,20.34,6.153,7.503,0.0,98.122,819.006,13.52
42.562,26.629,9.309,11.004,0.315,137.351,993.436,11.84
543.244,186.058,220.188,52.381,77.299,161.897,775.626,82.83
99.821,661.344,168.015,162.799,11.435,704.496,4372.467,70.74
45.722,28.851,8.849,11.077,0.0,121.828,968.219,11.72
789.393,98.995,535.548,65.881,107.195,393.619,3213.915,100.0
272.444,86.092,110.947,40.368,29.769,242.952,2011.875,77.7
175.343,55.407,69.392,27.185,16.982,163.951,1314.649,76.05
378.321,508.325,482.321,41.427,8.557,713.583,4091.274,69.79
49.344,11.323,8.411,0.0,1.24,377.285,1108.972,12.18
94.146,561.021,350.63,167.996,5.091,597.732,4120.877,74.22
35.769,44.97,29.671,10.866,1.175,211.092,744.087,10.22
33.147,162.444,11.492,144.993,0.824,297.699,2325.645,44.95
961.403,160.136,163.947,76.446,72.99,377.539,787.185,68.92
948.758,71.358,15.324,28.602,0.187,163.098,1018.273,48.3
656.587,94.269,191.509,32.512,58.146,470.756,0.0,67.83
1171.715,78.582,19.242,24.303,1.425,438.084,2884.14,47.97
67.257,392.056,28.587,339.956,2.102,597.836,4843.84,46.72
47.658,26.157,9.397,11.709,0.0,136.963,987.934,10.56
381.551,757.729,103.558,239.387,9.907,366.802,671.515,66.24
1444.455,35.934,26.009,32.151,0.254,394.88,2038.935,34.76
14.124,12.378,26.752,8.189,0.524,157.687,1079.597,3.58
370.0,109.0,143.0,54.0,37.0,330.0,2680.0,79.98
264.015,76.846,104.902,38.987,25.986,235.643,1910.492,64.85
28.96,19.2,6.498,8.932,0.0,111.517,860.559,10.95
370.961,27.645,8.322,10.436,0.304,140.238,1071.505,45.37
39.447,23.399,8.362,8.52,0.0,102.99,827.025,9.92
25.023,15.926,4.881,6.27,0.0,83.712,616.593,4.12
44.962,31.576,9.611,11.665,0.286,153.027,1123.277,14.05
23.71,14.763,4.812,5.728,0.0,82.359,623.329,4.44
491.384,738.576,387.546,107.158,16.456,177.874,4240.2,81.73
280.0,80.0,110.0,40.0,30.0,250.0,2000.0,63.35
19.534,97.275,38.557,177.649,0.407,0.958,2125.942,54.44
1050.0,135.0,700.0,87.0,142.0,525.0,4400.0,100.0
177.347,49.509,67.952,26.036,17.68,164.818,1323.871,75.0
53.498,1008.722,292.762,123.691,2.482,805.495,2956.738,65.39
433.568,76.081,180.327,60.593,64.809,57.242,909.916,73.03
1.536,21.362,18.863,21.683,1.702,80.735,955.028,12.61
64.2,308.136,26.231,278.218,1.861,469.772,3374.405,56.23
79.395,365.392,4.491,255.661,2.632,699.203,2318.008,56.97
160.0,48.0,64.0,24.0,16.0,145.0,1200.0,73.7
1539.372,186.717,933.547,81.741,88.95,351.154,4366.266,100.0
28.171,17.451,5.113,7.451,0.0,89.575,716.263,6.27
181.601,191.866,25.299,297.081,1.893,612.441,3794.843,56.14
65.989,21.151,25.416,9.675,1.493,188.019,1099.056,7.88
2302.271,75.058,321.735,95.299,17.626,483.396,1799.767,100.0
86.228,588.622,297.491,170.368,4.22,572.166,3995.257,83.17
735.165,40.219,27.357,26.413,1.54,84.479,2276.936,35.18
41.019,63.97,23.389,22.215,0.887,189.567,1266.965,3.65
13.5,7.2,2.4,3.8,0.0,55.0,460.0,7.56
868.272,60.796,17.435,20.715,1.224,373.706,2248.635,30.62
215.7,65.24,86.914,33.586,22.605,203.108,1541.216,67.38
66.372,52.847,29.476,3.151,1.048,134.02,470.124,3.95
65.202,341.351,24.816,305.289,1.819,530.544,3616.65,54.96
30.704,152.328,12.361,143.195,0.813,240.978,1962.099,58.19
42.354,214.928,16.255,182.356,1.066,340.02,2464.16,49.82
45.087,25.56,8.98,10.405,0.296,131.89,1026.321,2.95
151.989,11.106,3.102,4.107,0.102,55.987,434.801,37.06
10.033,5.005,0.994,2.04,0.0,41.32,373.921,5.93
2060.531,293.034,308.115,91.508,88.453,415.365,858.523,100.0
42.321,229.815,17.97,180.721,1.143,305.817,2677.048,53.75
1640.375,104.441,28.477,34.894,2.275,651.117,3967.536,37.9
30.573,42.515,21.573,22.835,1.345,377.924,2049.176,3.26
343.011,71.557,171.596,7.755,66.857,336.412,1712.162,68.71
84.17,554.095,279.942,180.672,4.431,559.525,4296.474,71.55
41.396,24.522,7.772,8.704,0.0,109.427,804.982,14.3
77.358,4.773,7.108,13.211,0.478,259.24,510.7,11.5
76.65,44.036,0.0,11.888,0.0,193.616,3003.191,11.51
62.364,422.874,196.35,116.378,2.849,384.228,3111.137,82.11
184.261,54.994,72.773,25.467,19.232,156.438,1403.616,69.13
529.444,72.608,365.329,43.032,70.847,257.655,2301.24,100.0
925.109,122.609,626.996,76.937,127.823,482.292,4076.567,100.0
37.793,35.118,7.896,0.0,1.702,395.271,1475.41,9.44
66.051,331.033,26.543,281.601,2.001,522.626,4070.654,57.42
1069.035,134.848,723.934,89.642,137.349,527.772,4258.257,100.0
44.716,211.646,14.364,182.127,0.984,325.154,2431.36,55.0
67.0,43.0,14.0,17.0,0.6,210.0,1550.0,6.59
320.451,91.223,125.274,47.339,32.153,275.764,2167.462,74.77
160.085,298.569,29.059,74.578,1.476,644.926,3972.15,58.47
126.488,349.602,37.345,251.883,0.797,615.974,1085.121,44.58
22.0,14.0,4.0,5.0,0.0,78.0,600.0,2.64
115.384,416.653,20.726,174.27,0.0,546.925,1031.77,55.62
180.0,1100.0,825.0,210.0,11.0,700.0,5000.0,86.36
54.896,105.356,54.699,330.701,1.408,421.402,2322.795,48.0
2930.204,204.478,512.42,51.226,0.0,288.575,2783.235,100.0
60.571,37.344,12.461,14.002,0.486,202.002,1354.006,7.15
65.62,427.322,266.134,131.964,3.752,430.747,3061.368,80.34
722.013,51.165,107.447,41.122,23.089,314.708,903.453,68.02
46.28,29.469,9.442,11.395,0.311,149.485,1082.104,8.81
890.0,64.0,17.0,22.0,1.2,348.0,2280.0,46.76
3281.977,40.949,576.928,44.526,250.377,717.094,2745.221,100.0
146.943,939.921,579.697,307.662,8.996,969.878,7452.275,84.97
1644.685,62.283,36.536,18.12,1.13,387.96,2014.914,46.96
55.375,38.554,11.339,14.467,0.475,171.702,1335.01,13.16
20.0,10.0,3.0,5.0,0.0,80.0,650.0,2.73
7.464,17.515,19.922,15.154,1.78,159.699,1886.007,13.43
50.309,284.132,20.115,236.186,1.414,414.497,3182.2,41.76
324.034,97.202,123.894,48.407,30.342,298.522,2314.501,60.48
971.869,188.703,183.295,63.029,79.561,275.667,1856.59,82.64
175.0,13.0,4.0,5.0,0.1,68.0,515.0,27.41
362.185,115.379,139.859,57.279,37.477,332.608,2887.931,61.93
75.082,28.135,10.72,1.448,1.462,157.384,988.745,6.03
190.0,56.0,74.0,28.0,19.0,169.0,1415.0,69.34
19.42,10.341,3.156,5.181,0.0,77.809,640.026,10.94
186.238,55.033,71.613,27.468,18.131,149.591,1329.758,64.41
50.0,320.0,160.0,95.0,2.5,320.0,2500.0,75.2
56.459,426.064,209.045,126.514,3.143,375.636,2876.317,71.11
1479.513,58.613,8.643,20.897,1.963,670.392,1770.413,43.03
650.0,45.0,12.0,15.0,0.8,250.0,1800.0,41.86
58.0,298.0,22.0,268.0,1.7,470.0,3600.0,43.75
231.835,74.738,94.458,32.95,25.078,211.429,1674.581,72.56
123.94,366.792,42.46,145.854,2.501,395.907,970.931,42.95
327.741,89.918,115.294,43.442,31.962,257.943,2335.856,73.42
48.467,236.409,19.24,196.312,1.492,371.048,2842.789,58.16
612.0,44.0,12.0,15.0,0.7,238.0,1720.0,33.96
1221.759,77.146,33.573,2.657,1.524,541.497,879.949,30.9
851.322,110.556,630.802,79.165,118.445,455.806,3553.905,100.0
166.331,54.898,69.945,25.936,17.203,164.058,1337.43,66.38
344.0,102.0,134.0,50.0,34.4,307.0,2490.0,60.81
95.204,657.476,317.77,168.097,5.356,624.157,4204.647,69.98
214.88,499.859,454.186,229.309,7.102,485.489,3270.074,82.7
43.174,225.7,17.425,205.542,1.238,338.472,2599.088,51.15
504.17,62.405,304.621,39.942,65.273,236.123,2035.484,95.85
200.279,480.245,413.423,140.193,1.036,430.868,696.093,66.35
148.692,242.049,22.379,150.366,1.395,745.761,1952.112,53.03
2250.406,115.709,458.367,170.129,295.663,306.707,1747.348,100.0
68.611,438.697,295.561,131.777,4.112,488.867,3612.034,81.51
79.279,392.989,30.092,321.858,2.6,561.627,4146.429,53.44
290.608,95.416,115.789,41.584,32.773,283.888,2191.275,72.99
2631.095,82.43,800.784,36.71,209.723,151.905,2394.106,100.0
40.316,63.263,18.17,0.408,0.674,156.587,1727.626,3.04
53.704,51.705,23.627,24.478,1.848,324.126,1090.704,11.37
24.75,15.381,5.029,5.734,0.0,87.899,675.874,7.76
47.585,19.568,31.469,6.545,0.653,341.54,2101.319,7.56
37.959,23.689,6.933,8.606,0.194,108.282,828.027,3.85
49.187,414.31,42.756,186.292,1.771,507.323,2843.328,54.91
59.053,280.79,22.284,262.551,1.583,471.903,3636.055,55.19
295.243,86.143,110.017,38.568,26.164,261.454,2132.263,72.1
935.0,121.0,623.0,77.0,125.0,468.0,3908.0,100.0
604.761,139.634,21.573,34.272,1.943,334.774,1088.918,39.07
224.199,113.362,42.963,81.919,66.821,252.592,2245.876,77.31
10.679,7.483,1.891,2.993,0.0,42.706,356.46,6.83
262.257,318.138,619.489,191.003,19.856,177.994,4578.435,86.31
41.324,6.817,16.703,4.62,1.465,338.949,1769.278,9.13
1433.53,54.547,14.48,10.542,1.266,507.828,1378.841,39.53
182.788,50.988,71.984,26.05,18.713,168.865,1433.577,66.2
136.0,874.0,532.0,254.0,7.4,874.0,6420.0,73.35
1129.473,138.11,709.143,93.799,141.703,539.919,4861.35,99.81
130.737,385.536,17.367,263.352,2.755,316.691,2478.083,44.74
580.0,76.0,385.0,48.0,77.0,290.0,2420.0,100.0
990.928,123.052,698.339,79.837,130.127,497.679,3949.21,100.0
539.406,39.797,9.868,13.356,0.523,187.223,1460.62,43.19
139.515,838.956,703.881,169.729,9.351,565.607,3864.056,69.19
557.158,70.437,341.884,45.236,67.33,251.714,2308.633,100.0
40.476,346.316,4.787,91.224,0.807,125.542,1302.255,55.47
48.0,228.0,17.0,204.0,1.2,358.0,2820.0,54.74
102.261,241.976,49.142,170.956,1.662,635.247,3638.175,53.3
967.697,149.012,86.089,14.028,0.0,342.861,1594.092,74.57
111.368,746.308,571.048,128.658,7.44,456.763,3419.794,79.67
32.879,158.363,12.525,151.088,0.824,259.513,2048.423,49.47
1098.0,140.0,732.0,91.0,147.0,549.0,4580.0,100.0
42.496,25.297,8.913,11.382,0.29,133.488,996.893,2.69
1151.59,33.122,348.051,73.965,294.576,502.896,2487.742,100.0
149.995,952.36,567.681,270.035,7.652,932.777,6543.365,77.73
808.081,62.32,15.517,16.88,0.973,280.423,2035.746,32.12
2946.066,190.56,615.062,18.437,110.183,330.012,2020.221,100.0
82.209,25.214,17.524,10.005,0.95,190.934,1878.775,28.23
528.0,70.0,352.0,44.0,70.0,264.0,2205.0,100.0
664.279,82.701,406.502,48.534,80.28,323.535,2607.959,100.0
674.925,92.237,474.035,60.66,85.904,325.904,2768.64,100.0
40.318,197.778,15.073,174.871,0.931,289.129,2552.652,50.24
1482.877,128.346,729.841,97.207,77.345,337.591,1866.393,100.0
323.227,95.14,126.214,43.859,31.992,279.936,2056.582,66.33
308.0,91.0,120.0,45.0,30.8,275.0,2230.0,63.44
930.848,120.14,589.894,80.717,123.859,494.433,3800.032,100.0
966.151,135.145,685.383,81.04,124.93,502.941,3912.454,100.0
0.0,189.659,187.271,122.235,204.015,445.418,368.037,93.12
75.819,25.531,13.824,3.232,1.705,208.18,1235.79,9.48
44.558,26.279,25.184,25.848,1.175,246.777,935.583,10.16
49.329,34.666,11.416,13.415,0.382,164.778,1229.769,5.4
47.692,265.614,20.445,195.382,1.448,375.413,2684.114,48.14
11.656,6.692,1.861,2.978,0.0,44.605,338.65,12.38
33.608,159.396,12.314,140.666,0.804,268.231,1988.706,49.57
183.262,77.952,33.371,165.274,1.4,56.347,171.146,56.89
453.406,134.565,168.967,63.699,45.667,404.079,3119.518,65.61
177.38,54.614,76.341,27.479,19.973,162.65,1499.253,64.61
27.494,18.226,5.445,7.44,0.0,90.565,686.051,13.83
138.702,823.766,521.804,240.577,7.177,852.345,6793.509,68.38
280.836,495.369,205.592,132.832,17.666,153.246,3345.698,84.22
843.742,60.35,15.748,22.405,1.088,303.687,2167.548,43.66
1302.386,167.566,8.419,9.403,2.951,465.971,2907.333,41.77
58.068,217.08,19.646,176.132,2.538,336.145,2501.106,58.58
125.107,247.182,14.239,188.462,1.893,504.306,1303.279,55.4
200.0,60.0,78.0,30.0,20.0,178.0,1490.0,71.05
216.683,69.284,86.005,35.773,21.631,195.256,1649.5,67.3
274.165,663.952,150.363,238.167,5.467,269.422,2476.025,66.85
51.69,334.159,152.182,101.612,2.551,326.493,2415.17,67.68
506.635,67.001,317.204,42.539,62.148,232.293,2010.464,100.0
2123.328,98.0,290.15,71.107,267.561,391.894,2331.498,100.0
212.806,63.353,88.172,33.905,20.143,190.157,1535.525,75.56
1167.017,148.351,702.22,90.879,144.022,564.839,4261.716,100.0
98.149,0.0,11.607,10.69,1.096,60.551,1980.384,13.51
37.379,188.157,14.966,174.194,1.024,307.051,2437.999,53.15
40.35,25.338,9.564,22.103,2.304,378.046,1865.998,7.46
64.393,41.244,12.752,15.578,0.473,176.753,1425.217,12.14
36.32,23.236,28.662,22.411,1.3,402.519,1870.666,9.93
19.031,11.777,3.067,4.992,0.0,71.467,520.181,14.13
1498.087,42.922,699.357,35.003,107.049,75.726,2558.095,100.0
193.322,145.139,44.846,173.624,2.235,647.151,2682.916,58.75
44.359,196.557,14.338,187.064,1.009,301.189,2682.085,49.61
1078.208,134.335,700.998,84.991,142.616,502.126,4438.915,100.0
755.644,55.305,14.321,19.841,0.883,305.984,2038.907,49.39
554.086,38.488,10.284,12.091,0.627,205.82,1641.907,49.32
482.611,59.415,331.434,37.058,59.806,244.739,1854.471,100.0
19.953,13.811,3.879,19.304,0.395,105.198,696.011,8.63
152.632,979.525,674.913,168.88,9.632,596.776,4283.622,81.29
7.475,43.651,21.957,10.032,1.314,367.739,1113.563,13.37
20.501,9.303,2.984,5.081,0.0,77.034,614.743,5.57
24.0,15.0,5.0,6.0,0.0,82.0,625.0,4.54
24.273,130.958,8.746,113.888,0.521,206.896,1550.3,43.45
95.0,8.0,2.2,3.5,0.1,50.0,400.0,36.44
235.86,71.935,99.486,34.781,23.204,201.486,1682.08,65.07
297.671,24.455,8.275,9.65,0.318,142.37,1274.25,33.24
254.723,79.058,107.821,40.092,27.608,236.762,1787.328,70.8
92.54,217.889,55.977,123.912,1.707,711.85,2311.208,48.94
28.239,18.954,5.931,7.094,0.0,92.511,742.481,7.07
58.023,373.837,13.125,353.097,0.316,224.611,884.499,53.33
921.793,61.095,17.595,21.164,1.131,363.488,2202.916,32.93
0.0,134.624,190.958,30.886,19.735,192.394,2641.352,72.68
63.716,48.879,13.323,16.055,1.503,49.217,1593.13,9.78
903.124,169.978,8.654,7.959,2.477,630.067,579.059,35.87
60.0,300.0,24.0,250.0,1.8,450.0,3200.0,57.9
195.724,56.004,81.897,31.29,20.427,172.957,1432.938,75.39
905.213,134.134,144.129,25.73,72.565,174.527,1190.387,80.16
34.486,336.338,43.159,109.006,3.091,563.247,2858.137,48.37
75.325,373.581,30.442,337.959,2.366,548.951,3936.675,49.02
1737.872,111.274,26.655,35.086,2.408,641.465,4062.387,41.49
32.475,21.513,6.148,8.509,0.0,101.332,789.038,3.95
33.499,34.006,27.76,19.414,1.393,108.084,846.749,8.95
29.294,19.544,6.322,8.081,0.0,105.856,864.679,8.87
1468.477,95.758,25.37,30.942,1.927,561.996,3169.21,49.4
843.129,54.516,15.445,20.297,0.965,312.917,2123.03,43.65
60.232,335.118,25.52,284.927,1.652,525.63,3832.765,55.98
637.024,197.377,0.0,9.58,1.395,539.703,1202.932,49.63
1150.0,148.0,770.0,96.0,155.0,576.0,4800.0,100.0
0.0,921.225,196.319,292.428,7.527,570.547,2958.586,68.67
857.277,88.543,26.621,39.274,0.0,426.854,1828.081,33.78
9.13,4.312,1.223,2.554,0.0,36.308,304.013,11.39
85.0,550.0,280.0,160.0,5.0,550.0,4000.0,81.58
382.359,851.48,365.507,143.505,9.563,338.078,2655.667,82.97
14.831,9.084,2.912,3.739,0.0,53.261,434.613,7.59
57.255,77.939,16.969,63.227,2.634,507.761,2083.28,47.8
68.525,431.637,228.58,142.118,3.649,430.338,3287.172,66.97
342.395,120.909,41.623,35.637,34.082,314.048,1419.148,73.06
1856.172,204.06,358.545,20.047,105.157,116.145,0.0,100.0
69.243,350.792,30.887,164.569,2.686,706.224,3646.304,48.66
2217.129,221.156,572.552,20.778,260.623,307.727,744.938,100.0
298.229,23.645,8.121,10.261,0.32,147.165,1270.751,38.36
60.718,35.915,12.597,14.166,0.489,169.586,1281.1,10.05
148.592,189.662,29.384,163.497,0.394,518.56,3060.99,42.5
114.0,742.0,453.0,216.0,6.3,742.0,5450.0,67.74
638.0,84.0,425.0,53.0,85.0,319.0,2660.0,100.0
22.797,478.452,5.964,189.756,1.114,570.935,2877.973,52.7
204.12,62.61,73.122,31.434,19.523,174.389,1392.72,64.36
216.388,245.912,16.353,312.829,2.456,400.514,2417.882,44.84
30.239,161.594,11.384,136.908,0.697,226.125,1895.255,49.23
775.202,64.304,85.402,40.298,34.301,115.512,1542.81,74.9
169.132,45.846,66.364,24.181,16.93,150.108,1266.911,73.27
315.198,56.274,38.927,22.292,1.36,508.844,2802.687,29.11
19.782,12.772,3.188,4.961,0.0,67.609,578.332,10.12
0.0,312.797,22.337,116.285,2.729,43.241,2932.258,53.18
67.843,426.591,260.319,126.216,3.646,445.736,3098.207,83.25
1909.265,272.943,667.33,13.146,445.011,58.692,1891.603,100.0
56.478,304.345,23.09,258.054,1.583,426.046,3253.898,44.31
45.182,213.213,18.029,201.636,1.118,328.266,2441.855,44.02
53.915,351.647,188.412,104.198,2.753,390.464,2851.072,68.94
42.523,24.548,10.159,24.687,1.843,158.592,917.306,13.57
348.86,961.316,377.277,242.858,12.097,875.657,1086.318,77.09
285.0,84.0,110.0,42.0,28.5,254.0,2060.0,73.61
870.987,107.972,567.634,69.85,122.372,461.572,3730.874,100.0
66.208,724.131,382.911,95.226,6.816,371.77,2418.334,84.55
1356.358,41.661,12.326,22.962,0.747,157.893,2003.501,34.1
138.859,915.927,521.915,240.851,7.699,879.479,6496.457,70.93
636.504,82.597,437.405,53.981,84.199,300.762,2553.512,100.0
496.887,73.1,372.722,45.887,72.061,253.686,2300.512,100.0
70.553,475.5,225.89,141.52,3.743,462.844,3397.344,74.33
69.311,311.647,24.323,282.762,1.805,493.261,3341.418,51.8
350.0,28.0,8.0,10.0,0.3,140.0,1050.0,41.19
26.92,15.931,4.712,6.225,0.0,87.075,686.178,10.58
629.941,112.917,24.554,25.363,2.924,436.36,1364.052,46.94
140.104,243.64,27.49,144.734,0.0,173.525,3381.721,47.4
488.628,65.362,315.454,37.295,62.411,230.978,1924.979,95.53
188.187,1219.753,884.01,223.822,12.053,825.984,5527.604,69.71
67.479,347.65,29.17,302.504,1.939,484.649,3569.63,47.43
0.0,296.329,5.337,122.499,2.962,175.378,2860.146,42.2
344.325,93.258,129.918,46.842,35.238,276.147,2346.353,78.61
248.065,18.963,5.966,8.946,0.195,116.222,924.869,30.47
883.742,64.517,18.801,23.407,1.172,337.246,2341.438,39.96
222.631,18.978,4.75,7.106,0.199,91.492,715.701,28.68
213.933,68.279,80.727,33.834,22.079,207.498,1656.548,61.25
352.478,168.797,252.497,53.787,158.951,526.165,1031.649,100.0
15.866,151.596,27.953,16.85,34.042,298.862,2873.709,61.48
1086.637,95.997,67.983,97.059,108.668,215.344,2046.852,67.71
294.725,133.66,24.3,17.682,1.298,447.985,1202.743,30.31
43.215,209.082,16.975,194.411,1.15,316.998,2575.623,48.08
188.084,1166.134,900.204,220.27,11.554,777.583,5168.27,79.89
1904.964,132.429,683.523,115.266,198.181,364.116,3288.745,100.0
31.311,22.445,5.93,8.532,0.0,108.231,833.548,9.61
33.0,21.0,6.0,8.0,0.0,102.0,780.0,6.55
72.234,78.791,27.36,4.974,0.0,253.584,2333.191,65.62
230.999,61.401,87.622,33.115,21.157,187.131,1615.371,68.8
156.405,955.373,741.388,166.415,10.127,631.671,4403.046,67.24
1868.158,120.794,33.143,39.46,2.811,735.083,4124.783,50.52
180.978,51.442,72.991,29.128,19.676,161.304,1304.322,73.04
68.982,398.254,27.486,350.442,2.236,578.958,4338.493,42.55
17.292,50.6,11.076,17.059,1.59,89.192,743.291,13.72
1017.322,178.137,202.169,15.716,260.817,460.426,2899.602,100.0
992.641,126.478,605.408,75.203,128.44,477.734,3817.466,100.0
120.304,761.113,639.419,147.99,8.5,506.943,3560.189,82.49
763.132,56.048,27.421,34.727,2.188,439.613,2497.821,30.82
74.607,453.463,267.694,142.301,3.548,432.381,3592.828,75.85
32.433,21.878,7.167,8.149,0.093,111.083,754.326,11.7
160.0,48.0,63.0,24.0,16.0,143.0,1190.0,64.07
994.152,133.142,602.624,75.214,134.744,510.384,4212.673,100.0
18.18,12.618,2.844,5.076,0.0,69.576,530.945,5.04
1932.95,120.268,33.624,43.192,2.807,676.56,4264.706,34.0
50.614,456.299,38.47,253.325,7.754,1227.627,3470.339,77.12
50.438,227.774,15.904,208.763,1.211,351.624,2638.557,49.42
305.636,85.902,126.441,45.426,31.712,275.823,2177.449,69.22
1656.772,107.81,30.438,37.721,2.406,615.404,3508.13,43.6
258.0,76.0,100.0,38.0,25.8,230.0,1870.0,58.75
33.68,158.389,12.109,139.251,0.771,254.488,2144.92,53.19
573.476,168.81,101.685,52.566,55.747,169.414,1211.831,66.38
74.558,16.193,17.929,26.116,1.642,143.623,1625.427,11.12
402.319,116.371,157.096,59.31,44.284,373.708,2693.48,62.55
923.233,151.213,161.394,36.846,9.019,381.532,1596.594,77.53
